Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
533306,SUMMIT SECURITIES LTD.,SUMMITSEC,SUMMIT SECURITIES LTD.,Active,B ,10.00,INE519C01017,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
533309,Dalmia Bharat Limited,DALMIABHA,DALMIA BHARAT LTD.,Delisted,A ,2.00,INE439L01019, ,Equity,-,-,-,-
533310,MidValley Entertainment Limited,MIDVAL,MIDVALLEY ENTERTAINMENT LTD.,Delisted,Z ,10.00,INE422B01016,Film Production- Distribution & Exhibition,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
533313,Hindustan Composites Ltd,HINCOMBBPH,HINCOMBBPH,Delisted,P ,10.00,-, ,Equity,-,-,-,-
533314,AGS INFOTECH LIMITED,AGSINFO,AGS INFOTECH LIMITED,Delisted,XT,10.00,INE966E01016, ,Equity,-,-,-,-
533315,Innovassynth Investments Limited,INOVSYNTH,INNOVASSYNTH INVESTMENTS LTD.,Active,X ,10.00,INE690J01011,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
533316,STEL Holdings Limited,STEL,STEL Holdings Ltd,Active,B ,10.00,INE577L01016,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
533317,OMKAR SPECIALITY CHEMICALS LIMITED,OMKARCHEM,OMKAR SPECIALITY CHEMICALS LTD.,Active,Z ,10.00,INE474L01016,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
533320,Jubilant Industries Limited,JUBLINDS,JUBILANT INDUSTRIES LTD.,Active,B ,10.00,INE645L01011,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
533321,Bil Energy Systems Limited,BILENERGY,BIL ENERGY SYSTEMS LTD.,Suspended,Z ,1.00,INE607L01029,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
533326,Texmaco Rail & Engineering Limited,TEXRAIL,TEXMACO RAIL & ENGINEERING LTD.,Active,A ,1.00,INE621L01012,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
533329,Indian Terrain Fashions Limited,INDTERRAIN,INDIAN TERRAIN FASHIONS LTD.,Active,B ,2.00,INE611L01021,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
533330,Acropetal Technologies Limited,ACROPETAL,ACROPETAL TECHNOLOGIES LTD.,Delisted,Z ,10.00,INE055L01013, ,Equity,-,-,-,-
533331,Balrampur Chini Mills Ltd.,BCMLBBPH,BCMLBBPH,Delisted,P ,1.00,-, ,Equity,-,-,-,-
533332,Sudar Industries Limited,SUDAR,SUDAR INDUSTRIES LTD.,Delisted,Z ,10.00,INE384L01017, ,Equity,-,-,-,-
533333,Fineotex Chemical Limited,FCL,FINEOTEX CHEMICAL LTD.,Active,A ,2.00,INE045J01026,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
533336,Dhunseri Investments Ltd,DHUNINV,DHUNSERI INVESTMENTS LTD.,Active,B ,10.00,INE320L01011,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
533339,Zen Technologies Ltd.,ZENTEC,ZEN TECHNOLOGIES LTD.,Active,A ,1.00,INE251B01027,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
533343,Lovable Lingerie Limited,LOVABLE,LOVABLE LINGERIE LTD.,Active,B ,10.00,INE597L01014,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
533344,PTC India Financial Services Limited,PFS,PTC INDIA FINANCIAL SERVICES LTD.,Active,T ,10.00,INE560K01014,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
533388,Reliance Infrastructure Ltd,RELINFBBPH,RELINFBBPH,Delisted,P ,10.00,-, ,Equity,-,-,-,-
533389,Shilpi Cable Technologies Limited,SHILPI,SHILPI CABLE TECHNOLOGIES LTD.,Delisted,Z ,10.00,INE510K01019, ,Equity,-,-,-,-
533390,HEG Ltd.,HEGLTDBBPH,HEGLTDBBPH,Delisted,P ,10.00,-, ,Equity,-,-,-,-
533393,TCI Developers Limited,TCIDEVELOP,TCI DEVELOPERS LTD.,Delisted,B ,10.00,INE662L01016,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
533396,Allied Digital Services Limited,ADSLBBPH,ADSLBBPH,Delisted,P ,5.00,-, ,Equity,-,-,-,-
533397,Infinite Computer Solutions (India) Ltd,ICSILBBPH,ICSILBBPH,Delisted,P ,10.00,-, ,Equity,-,-,-,-
533398,MUTHOOT FINANCE LIMITED,MUTHOOTFIN,MUTHOOT FINANCE LTD.,Active,A ,10.00,INE414G01012,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
533399,Paramount Printpackaging Limited,PARAPRINT,PARAMOUNT PRINTPACKAGING LTD.,Delisted,Z ,10.00,INE702L01010, ,Equity,-,-,-,-
533400,Future Consumer Limited,FCONSUMER,Future Consumer Ltd,Active,T ,6.00,INE220J01025,Diversified Retail,Equity,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
533401,SERVALAKSHMI PAPER LIMITED,SERVALL,SERVALAKSHMI PAPER LTD.,Delisted,Z ,10.00,INE431L01016, ,Equity,-,-,-,-
533402,Innoventive Industries Limited,INNOIND,INNOVENTIVE INDUSTRIES LTD.,Delisted,Z ,10.00,INE549I01011, ,Equity,-,-,-,-
533407,CIL Nova Petrochemicals Limited,CNOVAPETRO,CIL NOVA PETROCHEMICALS LTD.,Active,XT,10.00,INE672K01025,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
533411,Sanghvi Forging and Engineering Limited,SANGHVIFOR,SANGHVI FORGING AND ENGINEERING LTD.,Delisted,B ,10.00,INE263L01013, ,Equity,-,-,-,-
533412,Dr.Datsons Labs Limited,DRDATSONS,Dr.Datsons Labs Limited,Delisted,X ,10.00,INE928K01013, ,Equity,-,-,-,-
533427,VMS INDUSTRIES LIMITED,VMS,VMS INDUSTRIES LTD.,Active,X ,10.00,INE932K01015,Port & Port services,Equity,Services,Services,Transport Infrastructure,Port & Port services
533444,Timbor Home Limited,TIMBOR,TIMBOR HOME LTD.,Delisted,Z ,10.00,INE346L01016, ,Equity,-,-,-,-
533451,Karma Energy Limited,KARMAENG,KARMA ENERGY LTD.,Active,T ,10.00,INE725L01011,Power Generation,Equity,Utilities,Power,Power,Power Generation
533452,DELPHI WORLD MONEY LIMITED,DELPHIFX,Delphi World Money Ltd,Active,B ,10.00,INE726L01019,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
533453,PVR INOX LIMITED,PVRBBPH,PVRBBPH,Delisted,B ,10.00,            , ,Equity,-,-,-,-
533462,Teledata Marine Solutions Ltd.,TELEMARINE,TELEDATA MARINE SOLUTIONS LTD.,Delisted,T ,2.00,INE473I01014, ,Equity,-,-,-,-
533469,Birla Pacific Medspa Limited,BIRLAPAC,BIRLA PACIFIC MEDSPA LTD.,Delisted,Z ,10.00,INE341L01017, ,Equity,-,-,-,-
