Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,market_cap
532882,Omnitech InfoSolutions Limited,OMNITECH,OMNITECH INFOSOLUTIONS LTD.,Delisted,Z ,10.0,INE810H01019, ,Equity,-,-,-,-,
532883,ZYLOG SYSTEMS LIMITED,ZYLOG,ZYLOG SYSTEMS LTD.,Delisted,Z ,5.0,INE225I01026, ,Equity,-,-,-,-,58992840
532884,Refex Industries Limited,REFEX,Refex Industries Limited,Active,B ,2.0,INE056I01025,Industrial Gases,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases,115681390
532885,Central Bank of India,CENTRALBK,CENTRAL BANK OF INDIA,Active,A ,10.0,INE483A01010,Public Sector Bank,Equity,Financial Services,Financial Services,Banks,Public Sector Bank,8680939432
532886,SEL Manufacturing Company Limited,SELMC,SEL MANUFACTURING COMPANY LTD.,Active,B ,10.0,INE105I01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,33134700
532887,Neueon Towers Limited,NTL,Neueon Towers Ltd,Suspended,T ,10.0,INE333I01036,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,56544552
532888,ASIAN GRANITO INDIA LIMITED,ASIANTILES,ASIAN GRANITO INDIA LTD.,Active,B ,10.0,INE022I01019,Ceramics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,126745316
532889,K.P.R. Mill Ltd.,KPRMILL,K.P.R. Mill Limited,Active,A ,1.0,INE930H01031,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,341814000
532890,Take Solutions Ltd,TAKE,TAKE SOLUTIONS LTD.,Active,B ,1.0,INE142I01023,Healthcare Research- Analytics & Technology,Equity,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology",147934000
532891,Puravankara Limited,PURVA,Puravankara Ltd,Active,T ,5.0,INE323I01011,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",237149686
532892,Motilal Oswal Financial Services Limited,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,Active,A ,1.0,INE338I01027,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,149007291
532893,VTM Ltd,VTMLTD,VTM LTD.,Active,X ,1.0,INE222F01029,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,40227600
532894,Indowind Energy Ltd.,INDOWIND,INDOWIND ENERGY LTD.,Active,T ,10.0,INE227G01018,Power Generation,Equity,Utilities,Power,Power,Power Generation,107334780
532895,Nagreeka Capital & Infrastructure Limited,NAGREEKCAP,NAGREEKA CAPITAL & INFRASTRUCTURE LTD.,Active,T ,5.0,INE245I01016,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,12615300
532896,MAGNUM VENTURES LIMITED,MAGNUM,MAGNUM VENTURES LTD.,Active,B ,10.0,INE387I01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,58886317
532897,"Hindustan Unilever Ltd.,",HULBBPH,HULBBPH,Delisted,B ,1.0,-, ,Equity,-,-,-,-,
532898,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID,POWER GRID CORPORATION OF INDIA LTD.,Active,A ,10.0,INE752E01010,Power - Transmission,Equity,Utilities,Power,Power,Power - Transmission,9300603819
532899,Kaveri Seed Company Ltd,KSCL,KAVERI SEED COMPANY LTD.,Active,A ,2.0,INE455I01029,Other Agricultural Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,51439071
532900,PAISALO DIGITAL LIMITED,PAISALO,Paisalo Digital Ltd,Active,A ,1.0,INE420C01059,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),629428080
532901,Koutons Retail India Limited,KOUTONS,KOUTONS RETAIL INDIA LTD.,Delisted,B ,10.0,INE406I01014, ,Equity,-,-,-,-,
532902,Consolidated Construction Consortium Ltd,CCCL,CONSOLIDATED CONSTRUCTION CONSORTIUM LTD.,Suspended,B ,2.0,INE429I01024,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",398511188
